iter	Passed	Remaining
673	1321	639
674	1322	636
675	1324	634
676	1326	632
677	1328	630
678	1330	629
679	1332	627
680	1334	625
681	1336	623
682	1337	620
683	1338	618
684	1340	616
685	1342	614
686	1343	612
687	1345	610
688	1347	608
689	1349	606
690	1350	603
691	1352	601
692	1354	599
693	1355	597
694	1357	595
695	1359	593
696	1360	591
697	1362	589
698	1363	587
699	1365	585
700	1366	583
701	1368	580
702	1369	578
703	1371	576
704	1373	574
705	1375	572
706	1376	570
707	1378	568
708	1379	566
709	1381	564
710	1382	562
711	1384	559
712	1385	557
713	1387	555
714	1389	553
715	1391	551
716	1393	549
717	1395	547
718	1396	545
719	1398	543
720	1399	541
721	1401	539
722	1403	537
723	1405	535
724	1407	533
725	1408	531
726	1410	529
727	1411	527
728	1413	525
729	1414	523
730	1416	521
731	1418	519
732	1420	517
733	1421	515
734	1423	513
735	1425	511
736	1426	509
737	1427	506
738	1429	504
739	1430	502
740	1432	500
741	1434	498
742	1436	496
743	1437	494
744	1439	492
745	1441	490
746	1442	488
747	1444	486
748	1446	484
749	1447	482
750	1449	480
751	1450	478
752	1452	476
753	1454	474
754	1455	472
755	1457	470
756	1459	468
757	1461	466
758	1463	464
759	1464	462
760	1466	460
761	1468	458
762	1469	456
763	1471	454
764	1473	452
765	1474	450
766	1476	448
767	1477	446
768	1479	444
769	1481	442
770	1483	440
771	1484	438
772	1486	436
773	1487	434
774	1489	432
775	1491	430
776	1492	428
777	1494	426
778	1496	424
779	1498	422
780	1500	420
781	1502	418
782	1503	416
783	1505	414
784	1507	412
785	1509	410
786	1510	408
787	1512	406
788	1514	404
789	1515	402
790	1517	400
791	1519	398
792	1521	397
793	1524	395
794	1525	393
795	1527	391
796	1529	389
797	1531	387
798	1532	385
799	1534	383
800	1536	381
801	1538	379
802	1539	377
803	1541	375
804	1543	373
805	1544	371
806	1546	369
807	1548	367
808	1549	365
809	1551	363
810	1553	361
811	1554	359
812	1556	357
813	1558	356
814	1560	354
815	1561	352
816	1563	350
817	1565	348
818	1566	346
819	1568	344
820	1570	342
821	1571	340
822	1573	338
823	1575	336
824	1576	334
825	1578	332
826	1580	330
827	1582	328
828	1583	326
829	1585	324
830	1586	322
831	1588	320
832	1590	318
833	1591	316
834	1593	314
835	1595	312
836	1596	310
837	1598	308
838	1599	306
839	1601	305
840	1602	303
841	1604	301
842	1606	299
843	1608	297
844	1610	295
845	1612	293
846	1613	291
847	1615	289
848	1616	287
849	1618	285
850	1619	283
851	1621	281
852	1623	279
853	1625	277
854	1626	275
855	1628	273
856	1630	272
857	1631	270
858	1633	268
859	1634	266
860	1636	264
861	1638	262
862	1640	260
863	1641	258
864	1643	256
865	1645	254
866	1646	252
867	1648	250
868	1649	248
869	1651	246
870	1653	244
871	1655	242
872	1656	240
873	1658	239
874	1659	237
875	1661	235
876	1662	233
877	1664	231
878	1666	229
879	1668	227
880	1669	225
881	1671	223
882	1672	221
883	1674	219
884	1676	217
885	1677	215
886	1679	213
887	1680	211
888	1681	209
889	1683	208
890	1685	206
891	1686	204
892	1688	202
893	1690	200
894	1691	198
895	1693	196
896	1694	194
897	1695	192
898	1697	190
899	1699	188
900	1700	186
901	1702	184
902	1703	183
903	1705	181
904	1706	179
905	1708	177
906	1709	175
907	1713	173
908	1715	171
909	1717	169
910	1718	167
911	1720	166
912	1722	164
913	1723	162
914	1725	160
915	1727	158
916	1729	156
917	1730	154
918	1732	152
919	1734	150
920	1736	148
921	1738	147
922	1740	145
923	1742	143
924	1744	141
925	1745	139
926	1747	137
927	1748	135
928	1750	133
929	1752	131
930	1753	129
931	1755	128
932	1756	126
933	1758	124
934	1760	122
935	1761	120
936	1763	118
937	1765	116
938	1767	114
939	1768	112
940	1770	111
941	1772	109
942	1774	107
943	1776	105
944	1777	103
945	1779	101
946	1781	99
947	1782	97
948	1784	95
949	1786	94
950	1788	92
951	1789	90
952	1792	88
953	1794	86
954	1796	84
955	1798	82
956	1799	80
957	1801	78
958	1803	77
959	1805	75
960	1807	73
961	1809	71
962	1811	69
963	1813	67
964	1814	65
965	1816	63
966	1817	62
967	1819	60
968	1821	58
969	1823	56
970	1825	54
971	1827	52
972	1829	50
973	1831	48
974	1833	47
975	1834	45
976	1836	43
977	1838	41
978	1840	39
979	1842	37
980	1844	35
981	1846	33
982	1848	31
983	1849	30
984	1851	28
985	1853	26
986	1855	24
987	1857	22
988	1858	20
989	1860	18
990	1862	16
991	1863	15
992	1865	13
993	1866	11
994	1868	9
995	1870	7
996	1871	5
997	1873	3
998	1874	1
999	1876	0
